country,latitude,longitude
AD,42.54625,1.60155
AE,23.42408,53.84782
AF,33.93911,67.70995
AG,17.06082,-61.79643
AI,18.22055,-63.06862
AL,41.15333,20.16833
AM,40.0691,45.03819
AN,12.22608,-69.06009
AO,-11.20269,17.87389
AQ,-75.25097,-0.07139
AR,-38.4161,-63.61667
AS,-14.27097,-170.13222
AT,47.51623,14.55007
AU,-25.2744,133.77514
AW,12.52111,-69.96834
AZ,40.14311,47.57693
BA,43.91589,17.67908
BB,13.19389,-59.5432
BD,23.68499,90.35633
BE,50.50389,4.46994
BF,12.23833,-1.56159
BG,42.73388,25.48583
BH,25.93041,50.63777
BI,-3.37306,29.91889
BJ,9.30769,2.31583
BM,32.32138,-64.75737
BN,4.53528,114.72767
BO,-16.29015,-63.58865
BR,-14.235,-51.92528
BS,25.03428,-77.39628
BT,27.51416,90.4336
BV,-54.4232,3.41319
BW,-22.32847,24.68487
BY,53.70981,27.95339
BZ,17.18988,-88.49765
CA,56.13037,-106.34677
CC,-12.16417,96.87096
CD,-4.03833,21.75866
CF,6.61111,20.93944
CG,-0.22802,15.82766
CH,46.81819,8.22751
CI,7.53999,-5.54708
CK,-21.23674,-159.77767
CL,-35.67515,-71.54297
CM,7.36972,12.35472
CN,35.86166,104.1954
CO,4.57087,-74.29733
CR,9.74892,-83.75343
CU,21.52176,-77.78117
CV,16.00208,-24.0132
CX,-10.44753,105.69045
CY,35.12641,33.42986
CZ,49.81749,15.47296
DE,51.16569,10.45153
DJ,11.82514,42.59028
DK,56.26392,9.50179
DM,15.415,-61.37098
DO,18.73569,-70.16265
DZ,28.03389,1.65963
EC,-1.83124,-78.18341
EE,58.59527,25.01361
EG,26.82055,30.8025
EH,24.21553,-12.88583
ER,15.17938,39.78233
ES,40.46367,-3.74922
ET,9.145,40.48967
FI,61.92411,25.74815
FJ,-16.57819,179.41441
FK,-51.79625,-59.52361
FM,7.42555,150.55081
FO,61.89264,-6.91181
FR,46.22764,2.21375
GA,-0.80369,11.60944
GB,55.37805,-3.43597
GD,12.26278,-61.60417
GE,42.31541,43.35689
GF,3.93389,-53.12578
GG,49.46569,-2.58528
GH,7.94653,-1.02319
GI,36.13774,-5.34537
GL,71.70694,-42.6043
GM,13.44318,-15.31014
GN,9.94559,-9.69665
GP,16.99597,-62.06764
GQ,1.6508,10.2679
GR,39.07421,21.82431
GS,-54.42958,-36.58791
GT,15.78347,-90.23076
GU,13.4443,144.79373
GW,11.80375,-15.18041
GY,4.86042,-58.93018
GZ,31.35468,34.30883
HK,22.39643,114.1095
HM,-53.08181,73.50416
HN,15.2,-86.24191
HR,45.1,15.2
HT,18.97119,-72.28522
HU,47.16249,19.5033
ID,-0.78928,113.92133
IE,53.41291,-8.24389
IL,31.04605,34.85161
IM,54.23611,-4.54806
IN,20.59368,78.96288
IO,-6.34319,71.87652
IQ,33.22319,43.67929
IR,32.42791,53.68805
IS,64.96305,-19.02084
IT,41.87194,12.56738
JE,49.21444,-2.13125
JM,18.10958,-77.29751
JO,30.58516,36.23841
JP,36.20482,138.25292
KE,-0.02356,37.90619
KG,41.20438,74.7661
KH,12.56568,104.99096
KI,-3.37042,-168.73404
KM,-11.875,43.87222
KN,17.35782,-62.783
KP,40.33985,127.51009
KR,35.90776,127.76692
KW,29.31166,47.48177
KY,19.51347,-80.56696
KZ,48.01957,66.92368
LA,19.85627,102.4955
LB,33.85472,35.86229
LC,13.90944,-60.97889
LI,47.166,9.55537
LK,7.87305,80.7718
LR,6.42806,-9.4295
LS,-29.60999,28.23361
LT,55.16944,23.88128
LU,49.81527,6.12958
LV,56.87964,24.60319
LY,26.3351,17.22833
MA,31.7917,-7.09262
MC,43.7503,7.41284
MD,47.41163,28.36989
ME,42.70868,19.37439
MG,-18.76695,46.86911
MH,7.13147,171.18448
MK,41.60864,21.74528
ML,17.57069,-3.99617
MM,21.91397,95.95622
MN,46.8625,103.84666
MO,22.19875,113.54387
MP,17.33083,145.38469
MQ,14.64153,-61.02417
MR,21.00789,-10.94084
MS,16.7425,-62.18737
MT,35.9375,14.37542
MU,-20.3484,57.55215
MV,3.20278,73.22068
MW,-13.25431,34.30153
MX,23.6345,-102.55278
MY,4.21048,101.97577
MZ,-18.6657,35.52956
NA,-22.95764,18.49041
NC,-20.90431,165.61804
NE,17.60779,8.08167
NF,-29.04084,167.95471
NG,9.082,8.67528
NI,12.86542,-85.20723
NL,52.13263,5.29127
NO,60.47202,8.46895
NP,28.39486,84.12401
NR,-0.52278,166.9315
NU,-19.05445,-169.86723
NZ,-40.90056,174.88597
OM,21.51258,55.92326
PA,8.53798,-80.78213
PE,-9.18997,-75.01515
PF,-17.67974,-149.40684
PG,-6.31499,143.95555
PH,12.87972,121.77402
PK,30.37532,69.34512
PL,51.91944,19.14514
PM,46.94194,-56.27111
PN,-24.70362,-127.43931
PR,18.22083,-66.59015
PS,31.95216,35.23315
PT,39.39987,-8.22445
PW,7.51498,134.58252
PY,-23.4425,-58.44383
QA,25.35483,51.18388
RE,-21.11514,55.53638
RO,45.94316,24.96676
RS,44.01652,21.00586
RU,61.52401,105.31876
RW,-1.94028,29.87389
SA,23.88594,45.07916
SB,-9.64571,160.15619
SC,-4.67957,55.49198
SD,12.86281,30.21764
SE,60.12816,18.6435
SG,1.35208,103.81984
SH,-24.14347,-10.0307
SI,46.15124,14.99546
SJ,77.5536,23.67027
SK,48.66903,19.69902
SL,8.46056,-11.77989
SM,43.94236,12.45778
SN,14.4974,-14.45236
SO,5.15215,46.19962
SR,3.91931,-56.02778
ST,0.18636,6.61308
SV,13.79419,-88.89653
SY,34.80208,38.99682
SZ,-26.5225,31.46587
TC,21.69403,-71.79793
TD,15.45417,18.73221
TF,-49.28037,69.34856
TG,8.61954,0.82478
TH,15.87003,100.99254
TJ,38.86103,71.27609
TK,-8.96736,-171.85588
TL,-8.87422,125.72754
TM,38.96972,59.55628
TN,33.88692,9.5375
TO,-21.17899,-175.19824
TR,38.96375,35.24332
TT,10.6918,-61.2225
TV,-7.10954,177.64933
TW,23.69781,120.96052
TZ,-6.36903,34.88882
UA,48.37943,31.16558
UG,1.37333,32.29028
US,37.09024,-95.71289
UY,-32.52278,-55.76584
UZ,41.37749,64.58526
VA,41.90292,12.45339
VC,12.98431,-61.28723
VE,6.42375,-66.58973
VG,18.4207,-64.63997
VI,18.33577,-64.89634
VN,14.05832,108.2772
VU,-15.37671,166.95916
WF,-13.76875,-177.1561
WS,-13.75903,-172.10463
XK,42.60264,20.90298
YE,15.55273,48.51639
YT,-12.8275,45.16624
ZA,-30.55948,22.93751
ZM,-13.1339,27.84933
ZW,-19.01544,29.15486
